X.SampleID	OrigDate	ecotype	geoloc	Host	Lat_Lon	Library.Name	Organism	Replicate	sampleident	sampletype	sampletype2	sampleident2	location	orchardvineyard	sample_type	sex	repcol1	repcol2	coi_SRR	coi_location	species	perc_wolb	reads1	reads1_noW	wolb	fnd	fndl	wolbplot	sexplot	reads	reads_noW	fnd2	fndl2	sortorder	latitude	longitude	date	MaxTemp	MinTemp	AvgTemp	MaxcDHI	AvgcDHI	MaxcDNI	AvgcDNI	MaxcGHI	AvgcGHI	MaxDP	MinDP	AvgDP	MaxDHI	AvgDHI	MaxFF	AvgFF	MaxRH	MinRH	AvgRH	MaxSZA	MinSZA	AvgSZA	MaxSA	MinSA	AvgSA	MaxPress	MinPress	AvgPres	MaxPW	MinPW	AvgPW	MaxWD	MinWD	AvgWD	MaxWS	MinWS	AvgWS	MaxUVO	AvgUVO	MaxUVI	AvgUVI
SRR21281153	10/3/18	wild type	USA: Virginia	Drosophila	37.95 N 78.50 W	lib_0743	Drosophila sp. (in: flies)	rep_101	fly.0335	fly.poop	fly frass	fly.0335	Blenheim	vineyard	poop	poop	rep_124	rep_124	NA	NA	frass	0.004853633	6593	6561	poop	pooppoopfrass	pooppoopfrassBlenheim	N	M	6979	6944	pooppoopfrass	pooppoopfrassBlenheim	184	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21281154	10/3/18	wild type	USA: Virginia	Drosophila	37.95 N 78.50 W	lib_0742	Drosophila sp. (in: flies)	rep_100	fly.0328	fly.poop	fly frass	fly.0328	Blenheim	vineyard	poop	poop	rep_124	rep_124	NA	NA	frass	0.001854523	4853	4844	poop	pooppoopfrass	pooppoopfrassBlenheim	N	M	5010	5001	pooppoopfrass	pooppoopfrassBlenheim	185	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280643	10/3/18	wild type	USA: Virginia	Drosophila	37.95 N 78.50 W	lib_0741	Drosophila sp. (in: flies)	rep_099	fly.0327	fly.poop	fly frass	fly.0327	Blenheim	vineyard	poop	poop	rep_124	rep_124	NA	NA	frass	0.000818777	3664	3661	poop	pooppoopfrass	pooppoopfrassBlenheim	N	M	3690	3686	pooppoopfrass	pooppoopfrassBlenheim	186	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21281123	10/3/18	rotting grape	USA: Virginia	Vitis vinifera Virginia	37.95 N 78.50 W	lib_0777	Vitis vinifera	rep_024	BlViG_pk2	grape	grape	BlViG	Blenheim	vineyard	grape	grape	rep_124	rep_124	NA	NA	grape	0.262500283	44099	32523	grape	grapegrapegrape	grapegrapegrapeBlenheim	N	M	46189	33860	fruitfruitfruit	fruitfruitfruitBlenheim	187	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280894	10/3/18	rotting grape	USA: Virginia	Vitis vinifera Virginia	37.95 N 78.50 W	lib_0776	Vitis vinifera	rep_023	BlViG_pk1	grape	grape	BlViG	Blenheim	vineyard	grape	grape	rep_124	rep_124	NA	NA	grape	0.258212623	15464	11471	grape	grapegrapegrape	grapegrapegrapeBlenheim	N	M	16210	11964	fruitfruitfruit	fruitfruitfruitBlenheim	188	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280941	10/3/18	rotting grape	USA: Virginia	Vitis vinifera Virginia	37.95 N 78.50 W	lib_0775	Vitis vinifera	rep_022	BlViG_P	grape	grape	BlViG	Blenheim	vineyard	grape	grape	rep_124	rep_124	NA	NA	grape	0.568760611	2356	1016	grape	grapegrapegrape	grapegrapegrapeBlenheim	N	M	2548	1091	fruitfruitfruit	fruitfruitfruitBlenheim	189	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280942	10/3/18	rotting grape	USA: Virginia	Vitis vinifera Virginia	37.95 N 78.50 W	lib_0774	Vitis vinifera	rep_021	BlViG	grape	grape	BlViG	Blenheim	vineyard	grape	grape	rep_124	rep_124	NA	NA	grape	0.570068027	1470	632	grape	grapegrapegrape	grapegrapegrapeBlenheim	N	M	1642	744	fruitfruitfruit	fruitfruitfruitBlenheim	190	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280650	10/3/18	wild type	USA: Virginia	Drosophila	37.95 N 78.50 W	lib_0768	Drosophila sp. (in: flies)	rep_624	fly.0315	fly.M	fly	fly.0315	Blenheim	vineyard	fly	M	rep_027	rep_027	SRR21191730	USA: Virginia	dmel	0.002351097	11484	11457	N	MNdmel	MNdmelBlenheim	N	M	12215	12183	MNdmel	MNdmelBlenheim	191	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280674	10/3/18	wild type	USA: Virginia	Drosophila	37.95 N 78.50 W	lib_0748	Drosophila sp. (in: flies)	rep_604	fly.0293	fly.F	fly	fly.0293	Blenheim	vineyard	fly	F	rep_390	rep_390	SRR21191381	USA: Virginia	dsim	0.086653564	11194	10224	N	FNdsim	FNdsimBlenheim	N	F	11921	10913	FNdsim	FNdsimBlenheim	192	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
SRR21280659	10/3/18	wild type	USA: Virginia	Drosophila	37.95 N 78.50 W	lib_0760	Drosophila sp. (in: flies)	rep_616	fly.0307	fly.M	fly	fly.0307	Blenheim	vineyard	fly	M	rep_561	rep_561	SRR21191739	USA: Virginia	dmel	0	9305	9305	N	MNdmel	MNdmelBlenheim	N	M	9991	9982	MNdmel	MNdmelBlenheim	193	37.95	78.5	43376	29.6	18.1	23.3208333333333	106	37.2083333333333	798	254.208333333333	667	195.583333333333	22.4	18.1	19.9666666666667	332	63.625	100	5.375	100	57.92	83.6604166666667	145.43	42.55	93.1016666666667	0.16	0.16	0.16	992	990	990.958333333333	4.3	3.4	3.74166666666667	305	148	267.583333333333	0.5	0.1	0.15	39.4163	10.9333375	30.9616	8.5547875
