#SampleID	SampleID_fromonline	Country	City	State	location	CollectionDate	Latitude	Longitude	Season	LocalityID	SeqType	Continent	Dataset	NoOfFlies	SRA_accession	SRA_experiment	SeqPlatform	SampleType	sex	Year	YearDay	Prop_D_simulanscontamination	SNAPEoutlierstatus	ln2lt	ln2rlns	ln3lp	In_3R_C	In_3R_K	In_3R_Mo	In_3R_Payne	WeatherStationID	DistToWeatherStation_km_	bio1_Annual_Mean_Temperature_	bio2_Mean_Diurnal_Range__Mean_of_monthly_max_temp-min_temp__	bio3_Isothermality	bio4_Temperature_Seasonality__	bio5_Max_Temperature_of_Warmest_Month_	bio6_Min_Temperature_of_Coldest_Month_	bio7_Temperature_Annual_Range__bio5-bio6__	bio8_Mean_Temperature_of_Wettest_Quarter_	bio9_Mean_Temperature_of_Driest_Quarter_	bio10_Mean_Temperature_of_Warmest_Quarter_	bio11_Mean_Temperature_of_Coldest_Quarter_	bio12_Annual_Precipitation_	bio13_Precipitation_of_Wettest_Month_	bio14_Precipitation_of_Driest_Month_	bio15_Precipitation_Seasonality__Coefficient_of_Variation__	bio16_Precipitation_of_Wettest_Quarter_	bio17_Precipitation_of_Driest_Quarter_	bio18_Precipitation_of_Warmest_Quarter_	bio19_Precipitation_of_Coldest_Quarter_	tmin1_Jan_	tmin2_Feb_	tmin3_Mar_	tmin4_Apr_	tmin5_May_	tmin6_Jun_	tmin7_Jul_	tmin8_Aug_	tmin9_Sep_	tmin10_Oct_	tmin11_Nov_	tmin12_Dec_	tmax1_Jan_	tmax2_Feb_	tmax3_Mar_	tmax4_Apr_	tmax5_May_	tmax6_Jun_	tmax7_Jul_	tmax8_Aug_	tmax9_Sep_	tmax10_Oct_	tmax11_Nov_	tmax12_Dec_	prec1_Jan_	prec2_Feb_	prec3_Mar_	prec4_Apr_	prec5_May_	prec6_Jun_	prec7_Jul_	prec8_Aug_	prec9_Sep_	prec10_Oct_	prec11_Nov_	prec12_Dec_
SRR5647774	FI_Aka_14_37	Finland	Akaa	NA	NA	41878	61.1	23.52	spring	FI_Aka	pooled	Europe	DrosEU	40	SRR5647774	SRX2885334	NextSeq 500	wild	male	2014	239	0.005576895	Keep	0.27	0.03	0.01	0.01	0	0.01	0.01	FI000002963	31.89711212	39	81	24	8396	211	-115	326	132	-30	149	-67	595	78	27	33	215	88	208	112	-108	-115	-77	-16	35	88	107	97	57	19	-27	-77	-41	-40	4	69	150	200	211	192	134	76	18	-19	40	27	28	33	38	54	76	78	61	60	55	45
SRR5647775	FI_Aka_14_36	Finland	Akaa	NA	NA	41845	61.1	23.52	spring	FI_Aka	pooled	Europe	DrosEU	40	SRR5647775	SRX2885333	NextSeq 500	wild	male	2014	206	0.007181151	Keep	0.24	0.05	0.03	0.01	0	0.01	0	FI000002963	31.89711212	39	81	24	8396	211	-115	326	132	-30	149	-67	595	78	27	33	215	88	208	112	-108	-115	-77	-16	35	88	107	97	57	19	-27	-77	-41	-40	4	69	150	200	211	192	134	76	18	-19	40	27	28	33	38	54	76	78	61	60	55	45
SRR8439161	FI_Aka_15_35	Finland	Akaa	NA	NA	42206	61.1	23.52	spring	FI_Aka	pooled	Europe	DrosEU	40	SRR8439161	SRX5246547	HiSeq X Ten	wild	male	2015	202	0.00388226	Keep	0.35	0.06	0	0.01	0	0.01	0.03	FI000002963	31.89711212	39	81	24	8396	211	-115	326	132	-30	149	-67	595	78	27	33	215	88	208	112	-108	-115	-77	-16	35	88	107	97	57	19	-27	-77	-41	-40	4	69	150	200	211	192	134	76	18	-19	40	27	28	33	38	54	76	78	61	60	55	45
SRR8439162	FI_Aka_15_34	Finland	Akaa	NA	NA	42278	61.1	23.52	fall	FI_Aka	pooled	Europe	DrosEU	40	SRR8439162	SRX5246546	HiSeq X Ten	wild	male	2015	274	0.003590294	Keep	0.29	0.07	0.01	0.01	0	0.03	0	FI000002963	31.89711212	39	81	24	8396	211	-115	326	132	-30	149	-67	595	78	27	33	215	88	208	112	-108	-115	-77	-16	35	88	107	97	57	19	-27	-77	-41	-40	4	69	150	200	211	192	134	76	18	-19	40	27	28	33	38	54	76	78	61	60	55	45
SRR8494443	FI_Aka_16_6	Finland	Akaa	NA	NA	42630	61.1	23.52	fall	FI_Aka	pooled	Europe	DrosEU	40	SRR8494443	SRX5299024	HiSeq X Ten	wild	male	2016	261	0.00408689	Keep	0.28	0.07	0.02	0.01	0	0.01	0.03	FI000002963	31.89711212	39	81	24	8396	211	-115	326	132	-30	149	-67	595	78	27	33	215	88	208	112	-108	-115	-77	-16	35	88	107	97	57	19	-27	-77	-41	-40	4	69	150	200	211	192	134	76	18	-19	40	27	28	33	38	54	76	78	61	60	55	45
SRR8494445	FI_Aka_16_5	Finland	Akaa	NA	NA	42575	61.1	23.52	spring	FI_Aka	pooled	Europe	DrosEU	40	SRR8494445	SRX5299022	HiSeq X Ten	wild	male	2016	206	0.003813085	Keep	0.26	0.07	0.06	0.01	0	0.01	0.01	FI000002963	31.89711212	39	81	24	8396	211	-115	326	132	-30	149	-67	595	78	27	33	215	88	208	112	-108	-115	-77	-16	35	88	107	97	57	19	-27	-77	-41	-40	4	69	150	200	211	192	134	76	18	-19	40	27	28	33	38	54	76	78	61	60	55	45
SRR8439141	RU_Ale_15_55	Russia	Alexandrov	NA	NA	42262	56.41472	38.71611	fall	RU_Ale	pooled	Europe	DrosEU	40	SRR8439141	SRX5246567	HiSeq X Ten	wild	male	2015	258	0.00355994	Keep	0.11	0.01	0.01	0	0	0.02	0	RSE00149340	32.18279357	43	80	21	10121	233	-135	368	170	-77	170	-89	630	91	27	33	227	93	227	113	-135	-128	-72	9	70	112	132	115	66	14	-47	-99	-71	-56	2	97	177	218	233	214	151	74	0	-44	38	28	27	42	51	70	91	66	59	59	52	47
SRR8494476	RU_Ale_16_22	Russia	Alexandrov	NA	NA	42658	56.41472	38.71611	fall	RU_Ale	pooled	Europe	DrosEU	40	SRR8494476	SRX5298991	HiSeq X Ten	wild	male	2016	289	0.00394828	Keep	0.21	0.12	0.02	0.03	0	0.05	0.02	RSE00149340	32.18279357	43	80	21	10121	233	-135	368	170	-77	170	-89	630	91	27	33	227	93	227	113	-135	-128	-72	9	70	112	132	115	66	14	-47	-99	-71	-56	2	97	177	218	233	214	151	74	0	-44	38	28	27	42	51	70	91	66	59	59	52	47
SRR3939057	GA_at_14_spring	USA	Athens	Georgia	"Athens, GA"	41805	33.95	-83.36	spring	GA_at	pooled	NorthAmerica	DrosRTEC	44	SRR3939057	SRX1968286	Illumina HiSeq 4000	wild	male	2014	166	0.003636308	Keep	0.43	0.01	0.01	0.01	0.11	0.04	0.05	USW00013873	3.011680235	163	128	39	7265	324	-1	325	82	168	255	67	1248	136	84	15	376	261	303	340	-1	11	49	90	138	181	202	197	165	97	49	13	114	140	185	234	274	309	324	317	285	233	181	130	125	115	136	103	105	93	116	94	87	84	90	100
SRR3590548	ES_ba_12_fall	Spain	Barcelona	NA	NA	41197	41.38	2.17	fall	ES_ba	pooled	Europe	DrosRTEC	29	SRR3590548	SRX1801493	Illumina HiSeq 2000	wild	male	2012	289	0.005141822	Keep	0.43	0.06	0.04	0.08	0.08	0.12	0.13	SPE00155991	0.480981525	164	70	32	5064	279	65	214	175	230	231	103	609	92	25	33	223	118	149	123	65	73	90	107	137	174	202	202	183	143	102	76	130	140	160	185	217	253	279	274	251	208	165	137	39	36	45	48	52	42	25	51	73	92	58	48
