"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Xanthomonadales_ f__Xanthomonadaceae_ g__Frateuria",0.00639406223643944,-0.304332667407366,44,0.117659004500747,"perc_wolb","genus"
"2","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Tanticharoenia",0.00905069265390362,-0.291890583730078,50,0.117659004500747,"perc_wolb","genus"
"3","k__Bacteria_ p__Firmicutes_ c__Bacilli_ o__Lactobacillales_ f__Enterococcaceae_NA",0.0483928538952036,0.222832304939465,45,0.355326334326588,"perc_wolb","genus"
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter",0.000392171348167049,-0.389228854820389,3331,0.0101964550523433,"reads1","genus"
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Tanticharoenia",0.00606405743739057,0.306185020492014,50,0.157665493372155,"reads1_noW","genus"
"6","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Xanthomonadales_ f__Xanthomonadaceae_ g__Frateuria",0.0289325101560668,0.245897315260669,44,0.376122632028868,"reads1_noW","genus"
"7","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter",0.0461797687016114,-0.225015031526027,3331,0.400224662080632,"reads1_noW","genus"
"8","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter",2.67836777726157e-05,0.453694502400695,3331,0.000696375622088008,"sortorder","genus"
"9","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter",0.000161927362812999,0.411944874116858,6025,0.00146408096369778,"sortorder","genus"
"10","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g__",0.000168932418888206,-0.410893441929819,1373,0.00146408096369778,"sortorder","genus"
"11","k__Bacteria_ p__Bacteroidetes_ c__Bacteroidia_ o__Bacteroidales_ f__Porphyromonadaceae_NA",0.000398842763980181,-0.388779467064289,333,0.00259247796587117,"sortorder","genus"
"12","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter",0.00289412866443441,-0.330915199168973,12005,0.0150494690550589,"sortorder","genus"
"13","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter",3.53358681461917e-05,0.44760916116156,3331,0.000882833888980207,"latitude","genus"
"14","k__Bacteria_ p__Proteobacteria_ c__Gammaproteobacteria_ o__Pasteurellales_ f___ g__",6.79102991523236e-05,-0.432787665059851,1373,0.000882833888980207,"latitude","genus"
