"","cluster","pval","rho","sum","fdr","test","taxonomy"
"1","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA_2ee9eb896934c020aa5983616f60ef0f",2.94269679604341e-06,-0.522585149725382,64,0.000141249446210084,"perc_wolb","Feature.ID"
"2","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_NA_NA_60cd90e99b7069b177f13cafa488f939",8.83049116732648e-05,-0.448305486986994,54,0.00211931788015836,"perc_wolb","Feature.ID"
"3","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s___e05eff09e90ab6926088ef429f2786ed",0.0179323683879864,-0.280233002026285,321,0.242399925465444,"perc_wolb","Feature.ID"
"4","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___438a44dfdbb4d8615b10df4be1c25463",0.020199993788787,-0.275182976140881,103,0.242399925465444,"perc_wolb","Feature.ID"
"5","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s___ccc9900d425993723dae87b89c54973f",0.0399755249722335,-0.244393293132492,276,0.383765039733442,"perc_wolb","Feature.ID"
"6","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_NA_2ee9eb896934c020aa5983616f60ef0f",0.00590180681233276,0.323643970821871,64,0.207118751697597,"reads1","Feature.ID"
"7","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconacetobacter_NA_4c4161c3881971640470df177b71a1eb",0.00862994798739989,-0.309493820162705,284,0.207118751697597,"reads1","Feature.ID"
"8","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___7ba3db818087ffb87ac060019b0e26aa",0.0169266803078733,-0.282649828256771,1604,0.251244915147881,"reads1","Feature.ID"
"9","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Acetobacter_ s___fb00e7d259c38e1ab058bddd0153bbc1",0.0254074476779977,0.265201658072775,72,0.251244915147881,"reads1","Feature.ID"
"10","k__Bacteria_ p__Proteobacteria_ c__Alphaproteobacteria_ o__Rhodospirillales_ f__Acetobacteraceae_ g__Gluconobacter_ s___c164706f992dda66bf367220558247c9",0.0261713453279043,-0.263887033709721,2595,0.251244915147881,"reads1","Feature.ID"
